Indéterminé;;;
Néolithique;;;
Age du Bronze;Bronze Indéterminé (1800 -800 av.JC);;
;Bronze ancien ( BRA 1800 -1500 av.JC);BRA1;BRA1a
;;;BRA1b
;;BRA2;BRA2a
;;;BRA2b
;;BRA3;BRA3a
;;;BRA3b
;Bronze moyen (BRM 1501 –1200 av.JC);BRM1;BRM1a
;;;BRM1b
;;BRM2;BRM2a
;;;BRM2b
;;BRM3;BRM3a
;;;BRM3b
;Bronze final (BRF 1201 –800 av.JC);BRF1 (1201 –1050 av.JC);BRF1a
;;;BRF1b
;;BRF2 (1051 –900 av.JC);BRF2a
;;;BRF2b
;;BRF3;BRF3a
;;;BRF3b
;;BRF3/HAC1;
Age du Fer;Fer indéterminé (801 -25 av.JC);Hallstatt indéterminé (801 -460 av.JC) ;
;Hallstatt C;HAC1;HAC1a
;;;HAC1b-c
;;HAC2;HAC2a
;;;HAC2b
;;HAC2/HAD1;
;Hallstatt D (HAD 621 –460 av.JC);HAD1 (621 –530 av.JC);HAD1a
;;;HAD1b
;;HAD2 (531 –500 av.JC);HAD2a
;;;HAD2b
;;HAD3 (501 –460 av.JC);HAD3a
;;;HAD3b
;;HAD3/LTA1;
;La Tène indéterminée (461 -25 av.JC) ;;
;La Tène A (LTA 461 -400 av.JC);LTA1;LTA1a
;;;LTA1b
;;LTA2;LTA2a
;;;LTA2b
;La Tène B (LTB 401 -260 av.JC);LTB1 (401 -321 av.JC);LTB1a
;;;LTB1b
;;LTB2 (321 -260 av.JC);LTB2a
;;;LTB2b
;La Tène C (LTC 261 -140 av.JC);LTC1 (261 -200 av.JC);LTC1a
;;;LTC1b
;;LTC2 (201 -140 av.JC);LTC2a
;;;LTC2b
;;LTC2/LTD1;
;La Tène D (LTD 141 -25 av.JC);LTD1 (141 -70 av.JC);LTD1a
;;;LTD1b
;;LTD2 (71 -25 av.JC);LTD2a
;;;LTD2b
Gallo-Romain;Gallo-Romain Indéterminé;;
;Période augustéenne;-40  +20  (ap.JC);
;Haut Empire;+21 +100;
;;+101 +250;
;Antiquité tardive;+251 +310;
;;IVe siècle;
;;Ve siècle;
;Grandes  invasions /;;
Mérovingien;Mérovingien Indéterminé;;
;Mérovingien ancien (+451 +600);Mérovingien ancien I;
;;Mérovingien récent II;
;;Mérovingien récent III;
;Othonien;;
Moyen-âge;Moyen-âge Indéterminé;Moyen-âge I ;
;;Moyen-âge II;
