ADEX_ID;DAT_QUELLE;BEZEICHNG;GDE_NAME;GDE_KENN;KOO_REFSYS;X_VON;Y_VON;X_BIS;Y_BIS;Z;GENAUIGK;BEGRUENDUNG;;DAT_FEIN;;;;;;;;;;;;;;;;;LITERATUR;LISTENTEXT
N° de site ADAB;base source;Nom du site;commune principale;code commune;système de projection;X de;Y de;X à;Y à;Z;précision;Etat des connaissances;occupation;datation précise début;datation précise fin;immo niv1;immo niv2;immo niv3;immo niv4;Profondeur des vestiges;immo_exp;mob niv1;mob niv2;mob niv3;mob niv4;mob_exp;prod niv1;prod niv2;prod niv3;prod_exp;Bibliographie;Remarques
BW_102243069;ADABweb;"Wyhl, Untergriselwegort""""";Wyhl;8316051;4326;7.6737229636;48.1684867333;7.6758083526;48.1698566609;0;non;Littérature/Fouilles anciennes/Prospecté;Unique;Gallo-romain indéterminé;Gallo-romain indéterminé;NULL;NULL;NULL;NULL;;NON;NULL;NULL;NULL;NULL;NON;NULL;NULL;NULL;NON;dossier : 102243069;NULL
BW_101125686;ADABweb;"Niederwinden, Im kurzen Ried""""";Winden im Elztal;8316055;4326;8.0218834322;48.1412137788;8.023374766;48.1421891522;0;non;Fouillé;Unique;Gallo-romain indéterminé;Gallo-romain indéterminé;NULL;NULL;NULL;NULL;;NON;Céramique;NULL;NULL;NULL;NON;NULL;NULL;NULL;NON;dossier : 101125686;NULL
BW_103052959;ADABweb;"Weisweil, Käferhölzle""""";Weisweil;8316049;4326;7.6722596882;48.185746284;7.6750721388;48.1872280853;0;non;Littérature prospecté;Unique;Gallo-romain indéterminé;Gallo-romain indéterminé;Habitat;Indéterminé;NULL;NULL;;NON;NULL;NULL;NULL;NULL;NON;NULL;NULL;NULL;NON;"Bad. Fundber. III, 1935, 188. ; Dossier : 103052959";NULL
BW_96972042;ADABweb;"Langgasse 7, Buchholz, Saugrün""""";Waldkirch;8316056;4326;7.9102122231;48.0821479942;7.9105750627;48.0826090675;0;non;Littérature prospecté;Unique;Gallo-romain indéterminé;Gallo-romain indéterminé;NULL;NULL;NULL;NULL;;NON;Monnaies;NULL;NULL;NULL;NON;NULL;NULL;NULL;NON;"Christ, K. FMRD II,2-N1; bes. 25 ; Dossier : 96972042";NULL
BW_97018511;ADABweb;"Waldkirch, Buchenbühl/Schänzle""""";Waldkirch;8316056;4326;7.9652780688;48.0859344942;7.9679086665;48.0881289174;0;non;Littérature prospecté;Unique;Gallo-romain indéterminé;Gallo-romain indéterminé;Isolé;Dépôt;NULL;NULL;;NON;Monnaies;NULL;NULL;NULL;NON;NULL;NULL;NULL;NON;"Bissinger 1889, 35, 14.
Mone in: ZGO 10, 1859, 385f. 
FMRD II,2 72-75.
FMRD II,2-N1 (1980) 28. ; Dossier : 97018511";NULL
BW_97018519;ADABweb;"Waldkirch, Altersbachtal/Oberer Steingraben""""";Waldkirch;8316056;4326;7.9911033135;48.0776306184;7.9941734709;48.0802263161;0;non;Littérature prospecté;Unique;Gallo-romain indéterminé;Gallo-romain indéterminé;Isolé;Dépôt;NULL;NULL;;NON;NULL;NULL;NULL;NULL;NON;NULL;NULL;NULL;NON;"Wesdt. Zeitschr. 1882, 497 ff.
Schauinsland 25, 1898, 1ff.
Wagner I (1908) Nr. 391.
FMRD II,2, 72.
Waldkircher Heimatbrief 144, 1993, 3.
Arch. Nachr. Baden 50, 1993, 163f. ; Dossier : 97018519";NULL
BW_97018515;ADABweb;"Waldkirch, Altersbachtal""""";Waldkirch;8316056;4326;7.9891965966;48.0859232962;7.9891965966;48.0859232962;0;non;Littérature prospecté;Unique;La Tène indéterminée;La Tène indéterminée;Isolé;NULL;NULL;NULL;;NON;NULL;NULL;NULL;NULL;NON;NULL;NULL;NULL;NON;"Bad. Fundber. II, 1931, 288.
Ber. RGK 32, 1942, 34-36.
Chr. Liebschwager, Gräberfelder der frühen Latenekultur (Diss. FR ) Taf. 1.
R. Echt, Fürstinnengrab von Reinheim (1999)120-122. ; Dossier : 97018515";NULL
BW_102967478;ADABweb;Turmstrasse 1, Waldkirch;Waldkirch;8316056;4326;7.9603641544;48.0932164261;7.9603641544;48.0932164261;0;non;Littérature prospecté;Unique;Indéterminé;Indéterminé;Rituel;Eglise;NULL;NULL;;NON;NULL;NULL;NULL;NULL;NON;NULL;NULL;NULL;NON;dossier : 102967478;NULL
BW_97018510;ADABweb;Papiergässle, Waldkirch;Waldkirch;8316056;4326;7.966805739;48.0975137878;7.9669264145;48.0976443764;0;non;Littérature prospecté;Unique;Gallo-romain indéterminé;Gallo-romain indéterminé;Isolé;NULL;NULL;NULL;;NON;Monnaies;NULL;NULL;NULL;NON;NULL;NULL;NULL;NON;dossier : 97018510;NULL
