"Céramique # Keramik";"Conteneur # Behälter";"Amphore # Amphore";
;;"Dolium # Dolium";
;;"Autres # Anderes";
;"Vaisselle # Feinkeramik";"Cruche # Krug";"Import # Importware"
;;;"Locale # Lokale Ware"
;;;"Les deux # Beide"
;;"Coupe # Schüssel";"Import # Importware"
;;;"Locale # Lokale Ware"
;;;"Les deux # Beide"
;;"Urne # Urne";"Import # Importware"
;;;"Locale # Lokale Ware"
;;;"Les deux # Beide"
;;"Bouteille # Flasche";"Import # Importware"
;;;"Locale # Lokale Ware"
;;;"Les deux # Beide"
;;"Couvercle # Deckel";"Import # Importware"
;;;"Locale # Lokale Ware"
;;;"Les deux # Beide"
;;"Passoire # Sieb";"Import # Importware"
;;;"Locale # Lokale Ware"
;;;"Les deux # Beide"
;;"Entonnoir # Trichter";"Import # Importware"
;;;"Locale # Lokale Ware"
;;;"Les deux # Beide"
;;"Mortier # Mörser";"Import # Importware"
;;;"Locale # Lokale Ware"
;;;"Les deux # Beide"
;;"Tasse # Tasse";"Import # Importware"
;;;"Locale # Lokale Ware"
;;;"Les deux # Beide"
;;"Assiette # Teller";"Import # Importware"
;;;"Locale # Lokale Ware"
;;;"Les deux # Beide"
;;"Microvase  # Miniaturgefässe";"Import # Importware"
;;;"Locale # Lokale Ware"
;;;"Les deux # Beide"
;;"Autres # Anderes";"Import # Importware"
;;;"Locale # Lokale Ware"
;;;"Les deux # Beide"
;;"Non renseigné # Nicht dokumentiert ";"Import # Importware"
;;;"Locale # Lokale Ware"
;;;"Les deux # Beide"
;"Urne funéraire # Graburne";;
;"Terres cuites architecturales # Baumaterial";"Tuile # Ziegel";"Inscription # Inschrift"
;;"Hypocauste # Hypocaust";"Inscription # Inschrift"
;;"Cloison # Trennwand";"Inscription # Inschrift"
;;"Brique # Backstein";"Inscription # Inschrift"
;;"Autres # Anderes";"Inscription # Inschrift"
;;;"Pots de poêle # Ofentopf"
;;;"Carreaux de poêle # Kachelofen"
;"Autres # Anderes";"Statuette # Figur";
;;"Lampe # Lampe";
;;"Textile # Textil ";
;;"Parure # Schmuck";
;;"Jeux # Spiele";
;;"Jetons # Spielstein";
;;"Chenet # Feuerbock";
;;"Balle de fronde # Schleuderstein";
;;"Creuset # Tiegel";
;;"Briquetage # Briquetage";
;;"Brûle-parfum # Räucherfass";
"Métal # Metall";"Armement # Waffen Rüstungen";"Casque # Helm";
;;"Epée # Schwert";
;;"Lance # Lanze";
;;"Bouclier # Schild";
;;"Cuirasse # Panzer";
