"Habitat # Siedlung";"Indéterminé # Unbestimmt";"Non renseigné # nicht vorhanden ";
;;"Fosse # Grube";
;;"Fossé # Graben";
;"Non renseigné # nicht vorhanden ";"Non déterminé # unbestimmbar";
;;"Camp militaire # Lager";
;;"Château  # Schloss";
;;"Ferme  # Bauernhof";
;;"Villa  # Villa";
;;"Village hameau  # Dorf Weiler";
;"Fortifié # Befestigt";"Non déterminé # unbestimmbar";
;;"Camp militaire # Lager";
;;"Château  # Schloss";
;;"Ferme  # Bauernhof";
;;"Villa  # Villa";
;;"Village hameau  # Dorf Weiler";
;"Enclos # Schanze";"Non déterminé # unbestimmbar";
;;"Camp militaire # Lager";
;;"Château  # Schloss";
;;"Ferme  # Bauernhof";
;;"Villa  # Villa";
;;"Village hameau  # Dorf Weiler";
;"Ouvert # Unbefestigt";"Non déterminé # unbestimmbar";
;;"Camp militaire # Lager";
;;"Château  # Schloss";
;;"Ferme  # Bauernhof";
;;"Villa  # Villa";
;;"Village hameau  # Dorf Weiler";
;"Groupé # Dicht";"Non déterminé # unbestimmbar";
;;"Camp militaire # Lager";
;;"Château  # Schloss";
;;"Ferme  # Bauernhof";
;;"Villa  # Villa";
;;"Village hameau  # Dorf Weiler";
;"Isolé # Alleinstehend";"Non déterminé # unbestimmbar";
;;"Camp militaire # Lager";
;;"Château  # Schloss";
;;"Ferme  # Bauernhof";
;;"Villa  # Villa";
;;"Village hameau  # Dorf Weiler";
"Funéraire # Gräber";"Autres / Anderes";"Non renseigné # nicht vorhanden ";"Architecture de bois  # Holzarchitektur"
;;;"Architecture de pierre  # Steinarchitektur"
;;;"Enclos sépulcral  # Grabbezirk"
;;;"Ustrinum / Ustrinum"
;;"Inhumation  # Leichengrab";"Architecture de bois  # Holzarchitektur"
;;;"Architecture de pierre  # Steinarchitektur"
;;;"Enclos sépulcral  # Grabbezirk"
;;"Incinération  # Brandgrab";"Architecture de bois  # Holzarchitektur"
;;;"Architecture de pierre  # Steinarchitektur"
;;;"Enclos sépulcral  # Grabbezirk"
;;"Les deux  # Beides";"Architecture de bois  # Holzarchitektur"
;;;"Architecture de pierre  # Steinarchitektur"
;;;"Enclos sépulcral  # Grabbezirk"
;"Enclos Funéraire  # Grabschanze";"Non renseigné # nicht vorhanden ";"Tombe de grand module  # Grossgrab"
;;;"Architecture de bois  # Holzarchitektur"
;;;"Architecture de pierre  # Steinarchitektur"
;;;"Enclos sépulcral  # Grabbezirk"
;;"Inhumation  # Leichengrab";"Tombe de grand module  # Grossgrab"
;;;"Architecture de bois  # Holzarchitektur"
;;;"Architecture de pierre  # Steinarchitektur"
;;;"Enclos sépulcral  # Grabbezirk"
;;"Incinération  # Brandgrab";"Tombe de grand module  # Grossgrab"
;;;"Architecture de bois  # Holzarchitektur"
;;;"Architecture de pierre  # Steinarchitektur"
;;;"Enclos sépulcral  # Grabbezirk"
;;"Les deux  # Beides";"Tombe de grand module  # Grossgrab"
;;;"Architecture de bois  # Holzarchitektur"
;;;"Architecture de pierre  # Steinarchitektur"
;;;"Enclos sépulcral  # Grabbezirk"
;"Tombe plate isolée  # Einzelner Grab";"Non renseigné # nicht vorhanden ";"Architecture de bois  # Holzarchitektur"
;;;"Architecture de pierre  # Steinarchitektur"
;;;"Enclos sépulcral  # Grabbezirk"
;;"Inhumation  # Leichengrab";"Architecture de bois  # Holzarchitektur"
;;;"Architecture de pierre  # Steinarchitektur"
;;;"Enclos sépulcral  # Grabbezirk"
;;"Incinération  # Brandgrab";"Architecture de bois  # Holzarchitektur"
;;;"Architecture de pierre  # Steinarchitektur"
;;;"Enclos sépulcral  # Grabbezirk"
;;"Les deux  # Beides";"Architecture de bois  # Holzarchitektur"
;;;"Architecture de pierre  # Steinarchitektur"
;;;"Enclos sépulcral  # Grabbezirk"
;"Tumulus isolé  # Einzelner Tumulus";"Non renseigné # nicht vorhanden ";"Tombe de grand module  # Grossgrab"
;;;"Architecture de bois  # Holzarchitektur"
;;;"Architecture de pierre  # Steinarchitektur"
;;;"Enclos sépulcral  # Grabbezirk"
;;"Inhumation  # Leichengrab";"Tombe de grand module  # Grossgrab"
;;;"Architecture de bois  # Holzarchitektur"
;;;"Architecture de pierre  # Steinarchitektur"
;;;"Enclos sépulcral  # Grabbezirk"
;;"Incinération  # Brandgrab";"Tombe de grand module  # Grossgrab"
;;;"Architecture de bois  # Holzarchitektur"
;;;"Architecture de pierre  # Steinarchitektur"
;;;"Enclos sépulcral  # Grabbezirk"
;;"Les deux  # Beides";"Tombe de grand module  # Grossgrab"
;;;"Architecture de bois  # Holzarchitektur"
;;;"Architecture de pierre  # Steinarchitektur"
;;;"Enclos sépulcral  # Grabbezirk"
;"Nécropole tumulaire  # Tumuli Nekropole";"Non renseigné # nicht vorhanden ";"Tombe de grand module  # Grossgrab"
;;;"Architecture de bois  # Holzarchitektur"
;;;"Architecture de pierre  # Steinarchitektur"
;;;"Enclos sépulcral  # Grabbezirk"
;;"Inhumation  # Leichengrab";"Tombe de grand module  # Grossgrab"
;;;"Architecture de bois  # Holzarchitektur"
;;;"Architecture de pierre  # Steinarchitektur"
;;;"Enclos sépulcral  # Grabbezirk"
;;"Incinération  # Brandgrab";"Tombe de grand module  # Grossgrab"
;;;"Architecture de bois  # Holzarchitektur"
;;;"Architecture de pierre  # Steinarchitektur"
;;;"Enclos sépulcral  # Grabbezirk"
;;"Les deux  # Beides";"Tombe de grand module  # Grossgrab"
;;;"Architecture de bois  # Holzarchitektur"
;;;"Architecture de pierre  # Steinarchitektur"
;;;"Enclos sépulcral  # Grabbezirk"
;"Nécropole tombes plates  # Gräberfeld";"Non renseigné # nicht vorhanden ";"Architecture de bois  # Holzarchitektur"
;;;"Architecture de pierre  # Steinarchitektur"
;;;"Enclos sépulcral  # Grabbezirk"
;;"Inhumation  # Leichengrab";"Architecture de bois  # Holzarchitektur"
;;;"Architecture de pierre  # Steinarchitektur"
;;;"Enclos sépulcral  # Grabbezirk"
;;"Incinération  # Brandgrab";"Architecture de bois  # Holzarchitektur"
;;;"Architecture de pierre  # Steinarchitektur"
;;;"Enclos sépulcral  # Grabbezirk"
;;"Les deux  # Beides";"Architecture de bois  # Holzarchitektur"
;;;"Architecture de pierre  # Steinarchitektur"
;;;"Enclos sépulcral  # Grabbezirk"
"Isolé # Einzelfund";"Bloc architectural  # Baustein";"Inscription # Inschrift";
;;"Non-inscrit # Ohne inschrift";
